,id,date,time,user_id,username,name,tweet,language,link
322,1640186577933713408,2023-03-27,09:58:48,69155840,ganitri,Satvika Ganitri,Fokus ke video-nya..tumben diriku setuju sama omongan Bule 🥲  Pak @sandiuno jangan 'jual' Pulau Bali kami sebagai pulau murah lah Pak..harga diri bangsa dan negara lo ini..pusing kami liat kelakuan bule bule 'murah' disini,in,https://twitter.com/ganitri/status/1640186577933713408
323,1640165590064316416,2023-03-27,08:35:24,564316374,yonsastra,YON•전량,Dibilang bocorkan data ke pemerintah China...tp aslinya..versi simplenya...tiktok 3x lipat diminati drpd IG FB dan juga Utub (app milik amrik)..tp politikus amrik disuruh cari gara2 di srh sabotase. Itulah bule. Dari dulu otak bule USA bangsat semuanya. Gak bisa dipercaya bos!  https://t.co/KjzQZEQRdY,in,https://twitter.com/yonsastra/status/1640165590064316416
324,1640147692377759744,2023-03-27,07:24:16,782155982138777600,dana_politik,Dana Individu,"Gubernur Bali ngurus Bule miskin yg resek aja kewalahan, sok mau ngurusin Timnas Israel.. nanti turis kaya pada gak mau liburan ke Bali lg lebih kewalahan tuh, ingat Israel itu bangsa Pilihan..🤣",in,https://twitter.com/dana_politik/status/1640147692377759744
325,1640021797423972353,2023-03-26,23:04:01,1551723709001768960,kpktemananies,Am_Bjorkan,di sekitaran tmpt tinggal bajingan bule itu kyk-nya memang jauh dari KANTOR POLISI atw malah mgkn emg GAK ADA POLISI di daerah situ  mky si bangsat bule kencleng bisa terus bebas berbuat semau-nya..  (..tapi kalopun ada emg brani masalahin si bule bangsat ?)  😜,in,https://twitter.com/kpktemananies/status/1640021797423972353
326,1639972599857033217,2023-03-26,19:48:31,1568823857288728576,pinjolbiadab,KONTOL SAKTI,@kurawa Woi bangsat otak kau cam kontol ya Kau kira bali bule nya miskin? Ronaldo aja pernah kesana sampah masyarakat kayak lu bisa di beli ama orang bali asal nguap aja lu njeng,in,https://twitter.com/PINJOLBIADAB/status/1639972599857033217
327,1642386438389125122,2023-04-02,11:40:15,59740104,audaxviator71,𝐑𝐚𝐝𝐞𝐧 𝐃𝐨𝐧𝐚𝐥𝐝 𝐊𝐨𝐞𝐬𝐧𝐨🎸,"@Danki_Cebong Bule empang kampungan sok tau itu, jgn di dengerin. Si kunyuk yaman  cumaOrang goblok penjual agama",in,https://twitter.com/Audaxviator71/status/1642386438389125122
328,1642348461243736064,2023-04-02,09:09:21,3016913242,lezathe,bule caliburn,@ciggaretsr GOBLOK😭😭😭😭😭😭😭,in,https://twitter.com/lezathe/status/1642348461243736064
329,1642116129090052102,2023-04-01,17:46:08,1622259498428817409,welasasih92,yullek arjhuna,@yaniarsim @abu_waras Goblok ... Tragedi itu disaat pssi dbwah kepemimpinan iwan bule cuk,in,https://twitter.com/welasasih92/status/1642116129090052102
330,1642095108106641409,2023-04-01,16:22:37,3016913242,lezathe,bule caliburn,"@fluenmt STOP GOBLOK AJG, KEBANYAKAN MINYAK JELANTAH NIH MANUSIA😭",in,https://twitter.com/lezathe/status/1642095108106641409
331,1642078880218628096,2023-04-01,15:18:08,212556642,karman_mustamin,Captain Green 🇮🇩,@kompascom Lagian perugas avsec-nya terlalu goblok. Ngapain bule Yemen dianggap orang penting?,in,https://twitter.com/karman_mustamin/status/1642078880218628096
332,1641984254702944256,2023-04-01,09:02:07,2902552405,wisnuw2019,jinjanjun,"@Paltiwest bukan cuma golongan kaum muslim aja sih di Kristen juga ada  Di Islam orang"" menganggap keturunan Rasulullah sangar mulia  Di Kristen orang anggap bangsa Israel bangsa yang di berkati Allah  Emang bangsa ini aja yg goblok ada bule aja minta foto",in,https://twitter.com/wisnuw2019/status/1641984254702944256
333,1641806411628949504,2023-03-31,21:15:26,121059815,nightmarecrone,Mpu Anom Prasanta,"orang ngomong apaan dibalesnya apaan, dasar bule goblok",in,https://twitter.com/NightmareCrone/status/1641806411628949504
334,1641770279503552512,2023-03-31,18:51:51,1363450782855565314,vgilantaeshit,steph,"@FightHaven White people come to bali with NO regards for the local custom, act entitled, disturbing the holy day for Balinese, ride motorbike like mad men, and still proceed to act like VICTIMS. Bali was such a peaceful place before y’all brought your stinky white butt there. Bule goblok!",en,https://twitter.com/vgilantaeshit/status/1641770279503552512
335,1641729181632565248,2023-03-31,16:08:33,1352630586603495424,jefrin_45,Jefri Naldi,@the9iraffe @AJEnglish Orang indon selain banyak yg goblok juga haus pujian 😂 pantas aja banyak orang bule buat konten” react dan muji tentang indo di yt. Padahal dimanfaatin orang luar,in,https://twitter.com/Jefrin_45/status/1641729181632565248
336,1641680224688705536,2023-03-31,12:54:01,1015524284620345345,1980rangga_pras,Rangga Prasetya,@Kickyn1 @hervanka @kurawa itu pernyataan yg super goblok krn menghianati negara sendiri. Sama kayak Indonesia yg terlalu lama di jajah Belanda ya krn banyak bule ireng ( orang yg pro Belanda ),in,https://twitter.com/1980Rangga_Pras/status/1641680224688705536
